Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients,         
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  , RealTime
   72.60,    4926.9,  239.6    ,2.7649e-001, 2.76,  3.80%,   1.96,  230772.0,  1,  ,17819.500,14-May-2025,07:24:06,Pb212 (x-ray),72.81,67.1997,92.9995,#00B9FF,,Quardratic,NoSkew,67.1997 6460.638 166.3418 -2.925509,,18019.000
   74.98,   13359.1,  259.4    ,7.4969e-001, 2.78,  3.71%,   1.96,  230772.0,  2,  ,17819.500,14-May-2025,07:24:06,Pb212 (x-ray),74.82,67.1997,92.9995,#00B9FF,,Quardratic,NoSkew,67.1997 6460.638 166.3418 -2.925509,,18019.000
   85.36,    6942.6,  251.5    ,3.8961e-001, 2.88,  3.37%,   1.96,  230772.0,  3,  ,17819.500,14-May-2025,07:24:06,Pb212 (x-ray),85.47,67.1997,92.9995,#00B9FF,,Quardratic,NoSkew,67.1997 6460.638 166.3418 -2.925509,,18019.000
  238.96,    1166.9,  128.3    ,6.5482e-002, 2.40,  1.00%,   1.04,   58934.0,  4,  ,17819.500,14-May-2025,07:24:06,Pb212,238.63,231.599,249.799,#00B9FF,,Linear,NoSkew,231.599 3487.442 -37.29608,,18019.000
  241.82,     410.6,  120.3    ,2.3042e-002, 2.36,  0.98%,   1.04,   58934.0,  5,  ,17819.500,14-May-2025,07:24:06,Pb214,242.00,231.599,249.799,#2d5d7c,,Linear,NoSkew,231.599 3487.442 -37.29608,,18019.000
  295.78,    1348.9,  171.1    ,7.5700e-002, 5.41,  1.83%,   1.12,   43823.1,  6,  ,17819.500,14-May-2025,07:24:06,Pb214,295.24,285.553,306.226,#2d5d7c,,Linear,NoSkew,285.553 2199.059 -14.39328,,18019.000
  352.19,    1604.6,  145.5    ,9.0046e-002, 3.21,  0.91%,   0.96,   13157.0,  7,  ,17819.500,14-May-2025,07:24:06,Pb214,351.93,347.998,355.798,#2d5d7c,,Linear,NoSkew,347.998 1543.92 -16.86113,,18019.000
  511.87,    1794.3,  132.8    ,1.0070e-001, 6.45,  1.26%,   0.96,   27058.5,  8,  ,17819.500,14-May-2025,07:24:06,Pb212,510.77,486.186,519.597,#00B9FF,,Linear,NoSkew,486.186 820.1779 -4.097368,,18019.000
  583.78,    1168.6,  85.2     ,6.5581e-002, 5.25,  0.90%,   1.08,   26941.7,  9,  ,17819.500,14-May-2025,07:24:06,Pb212,583.19,563.018,605.443,#00B9FF,,Linear,NoSkew,563.018 637.9193 -1.674577,,18019.000
  606.01,     251.8,  88.4     ,1.4132e-002, 4.09,  0.68%,   1.01,   19794.7,  10,  ,17819.500,14-May-2025,07:24:06,Bi214,609.31,601.638,634.758,#ff00f7,,Linear,NoSkew,601.638 569.4948 -2.563434,,18019.000
